Stretch,Nominal Stress (kPa)
1,0
1.006,0.0903
1.0105,0.1926
1.0136,0.2919
1.0241,0.3732
1.0422,0.4545
1.0662,0.5177
1.0934,0.5629
1.1235,0.6021
1.1566,0.6383
1.1897,0.6745
1.2228,0.7107
1.2529,0.7499
1.2861,0.8071
1.3087,0.8704
1.3282,0.9457
1.3448,1.033
1.3583,1.1263
1.3719,1.2256
1.3854,1.3189
1.402,1.4183
1.4201,1.5146
1.4396,1.6169
1.4622,1.7223
1.4878,1.8337
1.5164,1.9481
1.5435,2.0475
1.5721,2.1439
1.6038,2.2432
1.6384,2.3486
1.6715,2.454
1.7077,2.5715
1.7423,2.6799
1.7784,2.7943
1.8146,2.9027
1.8492,2.9931
1.8748,3.0473
1.9049,3.0775
1.935,3.0776
1.9591,3.0385
1.9817,2.9754
2.0028,2.9032
2.0253,2.804
2.0449,2.6927
2.063,2.5754
2.0795,2.4611
2.0931,2.3528
2.1082,2.2385
2.1217,2.1242
2.1383,2.0219
2.1533,1.9467
2.1714,1.8685
2.194,1.7934
2.2211,1.7212
2.2527,1.6521
