Stretch,Stress
1,0
1.0267,0.1054
1.0337,0.1861
1.0461,0.2534
1.0656,0.3274
1.0941,0.3946
1.128,0.4552
1.1745,0.5224
1.2191,0.565
1.2567,0.583
1.2906,0.6054
1.3443,0.6502
1.3853,0.6906
1.4336,0.7309
1.489,0.7713
1.523,0.7982
1.573,0.852
1.6141,0.8969
1.6533,0.9529
1.6854,1.0202
1.7086,1.0785
1.7317,1.1502
1.7513,1.2309
1.7672,1.3094
1.785,1.4081
1.8027,1.5112
1.815,1.5942
1.8345,1.6996
1.854,1.8072
1.8771,1.9081
1.9038,2.0045
1.9323,2.0942
1.9643,2.1906
2.0017,2.2892
2.0374,2.3632
2.0802,2.4327
2.1248,2.5
2.1659,2.5628
2.2052,2.6121
2.2463,2.6525
2.2784,2.6682
2.3143,2.657
2.3429,2.6323
2.3734,2.5964
2.404,2.5404
2.4291,2.4709
2.4543,2.3924
2.4778,2.3049
2.5083,2.2108
2.5371,2.13
2.5569,2.0628
2.5767,2.009
2.6001,1.9619
2.6234,1.9283
2.6556,1.9081
2.6861,1.9058
2.7147,1.8991
2.7416,1.8834
2.7756,1.8587
2.8025,1.8363
2.8241,1.8117
